Time;Cube Type;Cube Pos;;;Cube Rot;;;Controller Pos;;;Controller Rot;;;Controller Velocity;;;Controller Acceleration;;;Controller Angular Velocity;;;Controller Angular Acceleration;;
69,05029;0;0;0;-45,1968;0;0;315;-0,3299771;1,630581;0,46432;4,974123;351,3829;314,859;-0,3984546;-1,528899;0,8924159;-4,241964;-5,86048;-7,244264;7,425228;1,427375;1,602306;32,53165;29,44247;81,34138
70,51937;0;0;0;-45,15046;0;0;135;-0,6807634;1,804694;0,4944747;347,9495;329,8445;334,6387;0,08132271;1,670233;-0,02630707;1,662508;-0,6252177;-8,477998;-4,566864;-3,431425;2,606825;-22,32801;-21,94566;29,73173
72,09729;0;0;0;-45,24538;0;0;315;-0,3233621;1,549587;0,391407;349,8181;351,1685;319,722;-0,4338996;-1,01017;0,474873;-2,049501;-10,61258;-0,252463;3,883634;-0,9462129;-1,27315;16,89953;27,46358;13,78262
73,92238;0;0;0;-45,32333;0;0;180;-0,669062;1,496484;0,4677831;9,648176;333,6381;336,9987;-0,2969685;1,588295;0,6686298;1,289377;1,277086;-8,830379;-4,248833;-2,965505;1,633696;-1,728327;-4,032886;21,89896
76,53534;0;0;0;-45,22216;0;0;270;-0,2859473;1,814326;0,417246;341,6609;356,7172;320,3293;-0,8660635;0,5886593;0,3506279;-3,146909;-7,620254;-3,516905;2,319346;-3,620472;3,104561;-7,52717;26,63448;74,13375
78,48591;0;0;0;-45,17929;0;0;0;-0,6985088;1,954123;0,49362;351,2695;339,6249;342,4792;-0,6182643;-0,5078615;0,8784493;0,3794529;-18,75858;1,275906;7,38232;1,754292;2,48279;120,0938;27,66972;25,47156
81,68597;0;-0,00215435;0;-45,52186;4,829673E-06;4,829673E-06;90;0,1772712;1,580231;0,2496562;1,896274;67,54415;334,1706;0,3329508;-0,05122115;-0,1810167;-1,310548;-0,3890831;-14,16675;-1,413939;4,778538;-2,451502;-35,87658;90,38513;-59,58841
82,94819;0;-0,002117157;0;-45,23478;4,829673E-06;4,829673E-06;90;0,3999437;1,451839;0,3405406;27,82128;74,67705;316,9858;0,08091109;-0,7825254;-0,7860062;-3,891896;1,829339;-6,14255;-2,203116;4,263238;-0,838335;-23,73019;54,24241;-9,628402
87,14372;0;-0,001929283;0;-45,53879;0;1,366038E-05;180;0,3392816;1,365461;0,5762748;28,42272;51,58256;344,4942;0,3828856;0,9748359;0,7941363;-2,8384;2,88991;-4,402609;-3,089903;-1,239583;1,348408;-6,229599;11,9705;-23,95793
88,27433;0;-0,001850128;0;-45,27946;0;1,366038E-05;180;0,4690101;1,614672;0,6515288;14,11816;58,08596;353,0215;0,1245298;1,693159;0,09435997;-5,891477;6,457078;-3,496757;-4,729583;-0,2743975;0,918695;-25,62841;10,89428;-22,64758
88,33927;0;-0,001868248;0;-45,40736;0;1,366038E-05;180;0,4364256;1,761019;0,6390409;348,9048;56,84496;355,528;-0,3633865;1,829241;-0,136497;-5,834283;-3,66689;-4,509918;-5,545658;-0,8147364;0,6826717;3,479242;8,937468;8,852831
92,41916;0;-0,001887321;0;-45,52728;0;1,366038E-05;180;0,2916545;1,502194;0,3372587;9,865978;75,11551;328,1527;0,4523175;1,329231;-0,06747248;-5,458687;5,570516;2,551503;-4,949222;-2,758676;0,8574355;-9,695903;-10,95496;27,98334
96,23516;0;-0,002063751;0;-45,14209;4,829673E-06;4,829673E-06;90;0,6135076;1,298121;0,3255912;21,11097;61,67511;337,7602;0,172106;-0,3026449;-1,102378;-0,00733709;-2,109328;-18,21454;-0,5013088;2,266461;0,2055195;-33,35143;85,18864;-71,37476
96,29754;0;-0,002082825;0;-45,26651;4,829673E-06;4,829673E-06;90;0,5956843;1,270226;0,1779356;29,17281;97,03585;336,6758;-0,2231409;-0,3998455;-2,076267;-13,26854;1,936202;-7,632071;-1,57539;8,085717;-2,914786;-14,05996;59,55595;-50,27743
98,97448;0;-0,002101898;0;-45,19202;-4,732704E-06;1,96035E-06;315;0,3988279;1,613389;0,2904326;4,919332;83,29049;334,5601;0,5278536;-0,8174404;1,079911;-2,650705;-12,0824;9,926208;6,703853;-3,562667;2,376515;55,53801;-35,59229;22,83796
115,8499;0;-0,002120018;0;-45,47095;-4,732704E-06;1,96035E-06;315;0,286337;1,585816;0,5648257;11,34355;55,89974;349,7181;0,02950809;-0,9185922;1,033034;-5,012949;-5,579909;-9,580139;6,304194;-2,309041;2,70411;-27,51304;58,51535;47,36631
116,4167;0;-0,002061844;0;-45,28259;4,732703E-06;1,960351E-06;45,00002;0,4104994;1,406556;0,6264355;30,84933;61,38425;348,9998;0,4708166;-0,9616829;0,07955319;-1,870019;-5,631923;-4,902462;3,909408;3,41692;0,3501692;33,41443;57,70283;44,6167
117,3692;0;-0,001894951;0;-45,39919;4,829673E-06;4,829673E-06;90;0,3315237;1,823676;0,3565175;341,9073;65,91312;5,781098;0,5591561;0,7193206;-1,017241;-1,229311;-1,570382;-8,993031;-0,7859631;6,420029;-0,377536;-6,966402;73,43294;-26,82397
118,2872;0;-0,001826286;0;-45,42393;4,732703E-06;1,960351E-06;45,00002;0,3772993;1,429744;0,3799314;29,15413;62,66599;342,7008;0,1762918;-1,220108;-0,6428086;-2,352608;-6,568334;-6,785923;3,977997;4,180814;0,5433174;43,72676;70,33517;14,46738
118,8134;0;-0,001833916;0;-45,42483;3,920698E-06;9,465408E-06;135;0,4073089;1,803477;0,3676555;345,5253;72,93386;340,6654;-0,4039566;1,883824;-0,3783717;-6,713904;-4,725181;-1,355348;-6,532464;-1,799221;0,8646381;-14,54853;5,205156;26,70117
119,3621;0;-0,001819611;0;-45,29237;-4,732704E-06;1,96035E-06;315;0,459625;1,902116;0,2659872;343,6392;86,76639;315,6504;0,7243535;-0,4915604;0,497494;1,470473;-7,346015;7,770249;3,48438;0,410532;-1,310152;41,8025;3,684606;-21,20623
120,4118;0;-0,001830101;0;-45,45334;0;1,366038E-05;180;0,423275;1,731544;0,3250537;353,1111;72,50427;341,2355;-0,09249845;2,156769;0,03579916;-11,59733;-0,5589847;2,89452;-6,210478;-4,449407;2,714971;-6,514109;26,22942;70,23542
120,9742;0;-0,001849174;0;-45,55785;3,920698E-06;9,465408E-06;135;0,3224826;1,329098;0,3177942;46,10662;69,95734;316,6807;0,5620708;0,3276883;-1,870299;5,212058;17,8257;-9,639519;-6,396852;2,670565;1,210196;-117,4426;45,28369;38,20871
121,0535;0;-0,001872063;0;-45,71597;3,920698E-06;9,465408E-06;135;0,3555643;1,458358;0,147459;19,11001;106,2751;330,1713;0,3462714;1,295269;-1,808832;-7,853435;5,414763;6,9549;-7,470353;1,801565;-0,1658363;3,882299;17,6645;21,7246
121,6367;0;-0,001764297;0;-45,25948;-3,9207E-06;9,465408E-06;225;0,4934661;1,790738;0,5056819;352,4915;55,8279;336,8672;-0,3809154;1,502366;0,5820617;-5,758119;-0,4128778;-4,615693;-4,16218;-4,276834;1,249435;-25,87864;-11,95019;8,161933
122,8009;0;-0,001801491;0;-45,43798;-3,9207E-06;9,465408E-06;225;0,4054273;1,877431;0,3222193;341,8177;75,71732;339,0432;-0,4851545;1,371693;0,8235487;-6,510209;-7,346792;1,791263;-2,844377;-4,237422;1,271403;22,75363;22,83264;7,617768
123,5;0;-0,001921654;0;-45,64414;3,920698E-06;9,465408E-06;135;0,3662564;1,365775;0,6263506;35,90596;51,37479;325,6029;1,123343;1,233429;-0,7467178;-0,7788101;16,37252;-7,23643;-6,921887;0,7924966;1,801851;-52,03223;34,12486;57,08958
124,0002;0;-0,002001762;0;-45,58559;0;0;0;0,3778119;1,946779;0,1216992;338,1552;109,2024;314,2931;0,09539375;-0,1243286;-0,7065142;14,65593;-37,18806;-1,71157;0,5028719;4,099257;-1,819326;122,6364;171,3159;-129,627
124,4874;0;-0,00206852;0;-45,47973;-4,732704E-06;1,96035E-06;315;0,2510858;1,448462;0,4837275;27,83785;74,46902;317,5667;-0,215601;-0,3203964;0,7329486;-0,5697062;-16,32987;4,104432;2,314886;2,072067;0,3975168;97,03675;70,33161;60,04359
125,3253;0;-0,002117157;0;-45,20383;4,732703E-06;1,960351E-06;45,00002;0,434904;1,679803;0,6196942;4,373516;59,4538;339,1717;0,3308893;-0,7388822;-0,09535177;6,000206;-16,88847;-7,498397;3,446812;4,187558;0,8223827;76,92175;112,8253;-37,70329
125,8882;0;-0,002105713;0;-45,24009;0;0;0;0,4546592;1,668334;0,6317601;5,654369;64,62331;329,9867;0,5667963;-1,278174;0,2422231;-0,4791162;-14,98976;-0,7206077;6,136957;2,757987;-0,7938504;131,8347;23,84859;-52,83259
127,1502;0;-0,002035141;0;-44,87836;0;1,366038E-05;180;0,6150036;1,502354;0,2836667;13,05749;77,34739;323,8952;1,153052;1,919582;-0,2067149;-9,861271;10,77023;3,545014;-5,606756;-4,751738;0,4526822;-8,567437;-55,89894;44,99646
129,4132;0;-0,002146721;0;-45,41095;-3,9207E-06;9,465408E-06;225;0,3607829;1,604452;0,5890176;3,098125;62,22777;340,2371;-0,1981915;1,433005;0,7994428;-7,322017;-2,522818;1,156907;-3,749104;-5,747699;1,690673;15,10063;4,807688;43,07258
130,4133;0;-0,002135277;0;-45,45988;3,920698E-06;9,465408E-06;135;0,357801;1,261849;0,4518136;35,54326;77,73644;328,9048;0,7126435;1,000813;-0,4971358;-1,877246;9,64819;-1,983141;-6,312702;-0,2889245;1,08513;-69,22776;4,069716;5,683927
131,59;0;-0,002109528;0;-45,20127;-4,829673E-06;4,829673E-06;270;0,4714068;1,365682;0,383742;29,03159;86,15069;331,0903;0,5397033;-0,273196;0,6978476;-1,856832;2,642818;13,11999;2,675336;-5,925306;3,205618;16,60991;-72,2398;46,45829
132,0747;0;-0,002090454;0;-45,12133;-4,829673E-06;4,829673E-06;270;0,4890807;1,586563;0,1877914;10,9336;103,376;327,7695;0,3638251;0,4242938;0,8497708;-0,2679754;-5,588587;15,21863;1,441394;-4,0404;0,8116769;24,70389;-15,33271;63,70188
132,1246;0;-0,002105713;0;-45,2206;-4,829673E-06;4,829673E-06;270;0,5055336;1,588266;0,2757409;12,71971;86,28954;334,0594;0,2496834;0,1094419;1,50181;-4,881978;-6,417936;9,627127;2,535879;-5,006203;1,983706;4,628964;-23,03324;-2,204843
132,6259;0;-0,002113342;0;-45,20168;0;0;0;0,4616235;1,868689;0,3794938;339,6668;78,28664;335,8566;0,5561805;-0,5210091;0,09456915;4,515691;-11,87912;5,351075;4,018654;0,810737;-0,6559328;70,93761;-14,36402;-18,15228
133,375;0;-0,002128601;0;-45,30406;-4,732704E-06;1,96035E-06;315;0,4229506;1,597272;0,5653755;1,183245;73,98965;324,3265;0,007109687;-0,9165947;0,9839686;0,04433159;-9,562012;7,966004;4,775239;-1,224579;-0,6516049;81,51431;-27,7755;-37,86457
133,95;0;-0,002158165;0;-45,48417;-4,829673E-06;4,829673E-06;270;0,3824303;1,36457;0,5675257;30,40893;72,51536;319,8444;0,1871294;-0,006897578;1,288967;-5,800226;-0,1978354;12,39736;2,809911;-5,912912;2,33479;38,56505;-58,46244;35,90065
134,888;0;-0,002112389;0;-45,49139;4,732703E-06;1,960351E-06;45,00002;0,3456294;1,371733;0,6246456;36,75032;56,32832;333,7783;-0,04617294;-1,58262;-0,3548173;-3,315273;-8,264197;-9,396547;5,607895;4,008574;-0,7829773;65,3502;57,96593;-45,24166
135,4002;0;-0,002123833;0;-45,46028;-4,829673E-06;4,829673E-06;270;0,3923913;1,33966;0,3350201;31,26812;85,73241;327,0698;0,4709268;0,2536988;1,023355;-2,87911;-1,674285;11,6061;1,23543;-5,072814;2,668069;26,63642;-36,14715;48,69683
