Time;Headset Pos;;;Heatset Rot;;;LeftController Pos;;;LeftController Rot;;;LeftController Velocity;;;LeftController Acceleration;;;LeftController Angular Velocity;;;LeftController Angular Acceleration;;;RightController Pos;;;RightController Rot;;;RightController Velocity;;;RightController Acceleration;;;RightController Angular Velocity;;;RightController Angular Acceleration;;;
0,1937109;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,2366797;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,3393803;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,4456958;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,5487273;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,650295;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,7541626;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,8569179;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
0,9608348;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
1,063547;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
1,164641;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
1,266278;2,061872;2,869608;1,849545;359,2448;52,87848;359,9286;0;1,82;0;355,3353;302,0391;70,19147;0;0;0;-0,1327539;-0,004530776;0,04297556;-0,003302995;0,002724257;0,00135253;-0,01028221;-0,04656249;-0,108488;0;1,82;0;16,76123;14,13496;304,926;0;0;0;0,09386031;0,06803095;0,1045842;0,0008741365;-0,0007073617;-0,000755417;0,3069951;0,08649274;0,04543667
